,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore
147,2023-01-16 19:00:00,1576.94,1582.6,1558.66,1566.27,40478.2355,2023-01-16 19:59:59.999,63589508.021807,57862.0,20263.5131,31837458.566525,0.0
148,2023-01-16 20:00:00,1566.27,1569.37,1541.15,1556.01,35411.693,2023-01-16 20:59:59.999,55011910.707811,47812.0,15980.9356,24827575.674781,0.0
149,2023-01-16 21:00:00,1556.01,1563.49,1552.81,1562.35,9645.5907,2023-01-16 21:59:59.999,15024672.343206,18972.0,5167.3208,8050461.430797,0.0
150,2023-01-16 22:00:00,1562.35,1566.11,1558.18,1563.59,8209.6638,2023-01-16 22:59:59.999,12819676.592318,15552.0,3636.9713,5680028.707193,0.0
151,2023-01-16 23:00:00,1563.59,1577.55,1561.71,1567.73,16537.6719,2023-01-16 23:59:59.999,25959556.592076,23122.0,9122.3021,14317631.177906,0.0
152,2023-01-17 00:00:00,1567.73,1571.27,1567.01,1570.06,6303.4287,2023-01-17 00:59:59.999,9888483.994897,14602.0,3476.2048,5453119.769905,0.0
153,2023-01-17 01:00:00,1570.07,1570.53,1558.16,1559.7,8327.079,2023-01-17 01:59:59.999,13022589.096406,19894.0,3596.2329,5623798.833678,0.0
154,2023-01-17 02:00:00,1559.7,1568.29,1558.23,1563.35,11681.8916,2023-01-17 02:59:59.999,18253753.879325,21139.0,5704.4949,8914541.688727,0.0
155,2023-01-17 03:00:00,1563.35,1569.74,1562.74,1569.11,14668.0754,2023-01-17 03:59:59.999,22966865.55644,22468.0,7373.0681,11545223.287743,0.0
156,2023-01-17 04:00:00,1569.11,1572.03,1562.86,1565.12,9098.0596,2023-01-17 04:59:59.999,14252584.079757,18539.0,4741.3461,7428122.251233,0.0
157,2023-01-17 05:00:00,1565.12,1565.55,1558.2,1561.78,10987.1691,2023-01-17 05:59:59.999,17160464.543435,18834.0,4615.1006,7208940.427411,0.0
158,2023-01-17 06:00:00,1561.77,1569.77,1560.66,1569.07,12816.6632,2023-01-17 06:59:59.999,20050328.375711,19604.0,6135.2391,9601505.740164,0.0
